Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness
American Pale Ale,10,"18,93","1,054","1,013","5,41","31,48","9,33","24,61",60,"1,042",70,
American Pale Ale,10,"20,82","1,051","1,012","5,18","39,44","10,65","28,39",60,"1,038",60,"1,5"
Saison,134,"45,42","1,053","1,015","4,99","35,44","9,32","49,21",60,"1,049",75,"1,5"
Saison,134,19,"1,061","1,017","5,75","31,2","7,39",30,60,"1,038",55,
Saison,134,"18,93","1,054","1,012","5,54","25,27","6,2","26,5",60,"1,039",70,"1,5"
American IPA,7,"20,82","16,1577","3,91742","6,66","99,24","7,03","34,07",60,"10,1",70,"1,5"
American IPA,7,18,"1,062","1,011","6,71","58,89","7,14",20,60,"1,056",55,"1,5"
American Pale Ale,10,"37,85","1,053","1,013","5,2","35,67","6,17","45,42",60,"1,044",70,"1,5"
Saison,134,"19,87","1,056","1,01","5,98","30,67","4,47","29,34",90,"1,038",72,"1,3"
American IPA,7,20,"1,053","1,01","5,59","48,31","2,8",15,15,"1,07",35,
American Pale Ale,10,23,"1,051","1,009","5,5","39,14","5,3","26,5",60,"1,044",80,3
American IPA,7,"18,93","1,049","1,011","4,91","39,3","13,65","11,36",60,"1,081",35,
American IPA,7,"20,82","1,063","1,016","6,2","39,94","5,24","28,39",75,"1,046",67,"1,5"
American Amber Ale,4,"20,82","1,061","1,015","6,04","31,75","13,56","22,71",60,"1,056",35,
American Amber Ale,4,"22,71","1,058","1,016","5,6","30,02","13,9","30,28",75,"1,044",90,"1,75"
Saison,134,"20,82","1,064","1,015","6,39","50,71","5,81","28,39",90,"1,047",80,"1,5"
American IPA,7,25,"1,05","1,01","5,36","66,92","6,34",34,60,"1,037",63,"2,5"
American IPA,7,"20,82","1,07","1,014","7,32","85,02","10,09","28,39",60,"1,051",60,"1,5"
American IPA,7,25,"1,056","1,012","5,79","53,14","5,59",28,80,"1,05",80,3
American IPA,7,"20,82","1,07","1,02","6,59","77,15","9,81","28,39",60,"1,051",70,"1,5"
American Light Lager,9,1100,"1,063","1,016","6,2",0,50,1300,60,"1,053",80,3
American IPA,7,23,"1,055","1,011","5,76","56,57","6,53",30,60,"1,042",65,"2,8"
American Light Lager,9,21,"1,021","1,005","2,08",0,"5,08","28,5",60,"1,016",35,3
American IPA,7,"19,87","1,065","1,018","6,12",0,"6,26","26,5",60,"1,049",75,"1,5"
American IPA,7,"41,64","1,062","1,016","6,01","74,64","8,85","51,1",60,"1,05",75,"1,4"
American IPA,7,75,"17,0788","4,2231","7,03","63,96","5,12",85,60,"15,2",90,3
Saison,134,15,"1,055","1,009","6,11","32,54","5,67",15,60,"1,055",35,
American Pale Ale,10,"18,93","1,052","1,012","5,3","29,14","4,44","11,36",60,"1,087",35,
American IPA,7,20,"1,061","1,011","6,6","65,24","8,26",24,60,"1,051",73,3
American Amber Ale,4,21,"1,057","1,011","6,05","35,39","21,79",26,60,"1,046",69,"2,5"
American IPA,7,"4,73","1,061","1,014","6,07","70,68","6,01","7,57",60,"1,038",70,"1,5"
American Light Lager,9,"1760,22","9,57543","2,45086","3,77","12,71","3,73","1798,07",60,"9,4",80,"1,5"
Saison,134,"20,06","1,048","1,01","4,93",65,"5,8","11,36",60,"1,085",35,
American Light Lager,9,20,"1,064","1,014","6,6","30,74","11,82",26,60,"1,05",75,3
American Pale Ale,10,"22,71","1,059","1,014","5,81","16,29","3,57","28,39",60,"1,047",66,"1,5"
American IPA,7,"18,93","1,066","1,015","6,69","81,07","6,08","24,61",90,"1,05",76,"1,5"
American Light Lager,9,"15,14","1,06","1,015","5,92",0,"5,76","28,39",60,"1,032",68,
American IPA,7,30,"1,059","1,013","6,06","67,69","7,1",40,60,"1,044",60,3
American Pale Ale,10,"20,82","1,051","1,01","5,37","37,52","7,68","28,39",70,"1,037",75,
American Light Lager,9,"24,61","1,052","1,01","5,54","42,75","4,46","30,28",60,"1,042",75,"1,4"
American Pale Ale,10,20,"1,041","1,008","4,35","36,67","4,67",4,30,"1,051",35,
American IPA,7,25,"1,05","1,012","5,04","93,58","4,56",30,60,"1,042",70,
American Pale Ale,10,"20,82","1,047","1,011","4,68","37,21","7,43","28,39",60,"1,034",70,"1,5"
American Light Lager,9,"39,75","1,056","1,013","5,67","25,04","4,11","45,42",60,"1,049",75,"1,25"
American IPA,7,"20,82","1,044","1,01","4,43","51,69","7,98","18,93",60,"1,049",35,
American IPA,7,14,"1,057","1,014","5,63","98,3","7,66",20,60,"1,04",75,
Saison,134,17,"1,054","1,013","5,29",0,"5,46",21,60,"1,044",70,3
American Light Lager,9,25,"1,053","1,013","5,19","26,03","8,65",29,60,"1,045",75,3
American Pale Ale,10,"22,71","1,05","1,013","4,96","37,51","10,1","31,23",60,"1,037",70,"1,3"
American IPA,7,"21,5","1,054","1,01","5,74","31,75","5,6",26,60,"1,045",70,
American Pale Ale,10,"20,82","1,07","1,02","6,64","52,07","11,32","28,39",60,"1,052",75,
American IPA,7,"20,82","1,061","1,012","6,43","55,22","4,03","28,39",60,"1,045",70,"1,5"
American IPA,7,42,"1,06","1,015","5,86","93,44","6,38",52,60,"1,048",70,1
American IPA,7,"41,64","1,066","1,016","6,6","66,73","4,91","51,1",60,"1,054",72,"1,5"
American Amber Ale,4,"20,82","1,066","1,02","5,95","20,47","16,73","26,01",90,"1,053",65,"1,25"
American IPA,7,10,"1,046","1,012","4,55","117,82","11,08",13,60,"1,036",65,
American IPA,7,"18,93","1,089","1,016","9,65","117,54","9,26","22,71",90,"1,075",75,
American Pale Ale,10,120,"1,048","1,012","4,74","48,81","5,14",145,60,"1,04",70,3
American Light Lager,9,"20,82","1,101","1,023","10,26","93,95","6,31","28,39",60,"1,074",60,
American Pale Ale,10,"22,71","1,055","1,013","5,48","61,3","7,49","25,55",60,"1,049",83,"1,6"
Saison,134,77,"1,05","1,006","5,69","29,03","3,5",85,60,"1,045",77,3
American Light Lager,9,"20,82","1,076","1,021","7,21","67,31","7,98","28,39",60,"1,056",70,"1,5"
American Light Lager,9,"20,82","1,079","1,021","7,66","34,76","4,15","24,61",90,"1,067",63,2
American Light Lager,9,"20,82","1,119","1,024","12,37","45,5","22,75","22,71",90,"1,109",35,
American IPA,7,"21,77","1,076","1,019","7,54","26,32","4,9","31,23",60,"1,053",75,
American IPA,7,"3,79","1,066","1,017","6,5","84,11","8,17","11,36",60,"1,022",70,
American IPA,7,"41,64","1,073","1,02","7,01","63,03","6,46","47,32",60,"1,064",70,"1,5"
American Pale Ale,10,"15,14","1,055","1,013","5,58","28,98","4,23","18,93",60,"1,044",75,2
American Pale Ale,10,"18,93","1,054","1,013","5,34","44,87","5,76","13,25",60,"1,041",35,
American IPA,7,"5,3","1,066","1,021","5,89","103,77","5,49","5,68",15,"1,061",65,
American IPA,7,10,"1,061","1,015","6,02","29,23","4,6",15,60,"1,041",70,3
American IPA,7,"18,93","1,088","1,022","8,54","101,01","11,87","24,61",60,"1,067",70,"1,5"
Saison,134,"25,5","1,06","1,014","6,08","25,16","4,01",32,90,"1,048",63,4
American Light Lager,9,21,"1,049","1,012","4,82","33,09","28,07","28,5",60,"1,036",70,3
Saison,134,10,"1,065","1,012","6,92","30,61","13,7",12,70,"1,054",60,"2,5"
American Pale Ale,10,"11,5","1,042","1,007","4,6","46,42","13,59",16,60,"1,03",53,
Saison,134,"20,82","1,065","1,014","6,7","20,07","7,58","28,39",90,"1,048",70,"1,5"
American IPA,7,"20,82","1,05","1,012","4,98","33,61","6,67","28,39",60,"1,037",70,"1,5"
American Pale Ale,10,"30,28","1,06","1,015","5,88","11,75","5,27","32,18",30,"1,056",85,"1,5"
American Pale Ale,10,"21,5","1,054","1,009","5,85","37,66","6,14",26,70,"1,044",72,5
American Light Lager,9,"41,64","1,075","1,019","7,38","28,39","10,61","49,21",60,"1,063",70,"1,5"
American Light Lager,9,21,"1,017","1,004","1,64",0,"1,27",11,60,"1,032",35,
Saison,134,"39,75","1,059","1,016","5,58","27,59","6,28","47,32",60,"1,05",75,"1,5"
American Amber Ale,4,38,"1,055","1,014","5,42","35,69","15,23",45,60,"1,047",70,"1,25"
Saison,134,"20,82","1,056","1,012","5,76","30,02","8,08","24,61",60,"1,048",49,"1,5"
American Pale Ale,10,"20,82","1,054","1,013","5,27","36,12","7,59","28,39",60,"1,039",70,"1,5"
American IPA,7,10,"1,085","1,017","8,98","95,93","18,05","12,5",60,"1,068",70,
American IPA,7,22,"1,066","1,013",7,"32,61","7,77",30,60,"1,048",70,
American Light Lager,9,20,"1,047","1,009","4,97","48,42","18,75",8,60,"1,117",35,
American IPA,7,"22,71","1,071","1,018","6,88","40,22","4,5","26,5",60,"1,06",75,"1,5"
American Pale Ale,10,"18,93","1,062","1,014","6,38","59,94","13,15","26,5",60,"1,045",70,"1,1"
American Pale Ale,10,"51,1","1,046","1,009","4,87","32,29","4,98","54,89",60,"1,043",77,"1,5"
American Pale Ale,10,"18,93","1,048","1,007","5,4","46,63","3,4","26,5",60,"1,034",80,
American Pale Ale,10,75,"1,04","1,007","4,42","76,47","3,05",83,60,"1,036",91,3
American IPA,7,"18,9","1,064","1,015","6,37","79,04","7,39","25,7",60,"1,047",70,"2,9"
American Pale Ale,10,"22,71","1,052","1,01","5,49","42,63","9,16","15,14",60,"1,078",35,
American IPA,7,14,"1,06","1,014","6,09","48,97","6,79","17,33",60,"1,049",73,
American Pale Ale,10,"39,75","1,066","1,017","6,44","60,11","9,88","45,42",75,"1,057",80,"1,5"
American IPA,7,"18,9","1,049","1,009","5,21","56,05","13,14","15,1",45,"1,061",35,
American Pale Ale,10,16,"1,057","1,009","6,26","59,81","8,3",23,60,"1,04",55,"2,4"
American Pale Ale,10,24,"1,052","1,014","5,03","33,26","5,26",29,90,"1,043",78,
American Pale Ale,10,38,"1,058","1,018","5,22","29,19","8,48",42,60,"1,052",70,3
American Pale Ale,10,"20,82","1,05","1,012","4,92","41,46","6,73","28,39",60,"1,036",72,"1,25"
American IPA,7,"18,93","1,082","1,02","8,03","104,57","8,34","20,82",90,"1,074",100,
American IPA,7,"37,85","1,065","1,019","6,06","48,42","6,76","45,42",60,"1,054",70,"1,5"
American IPA,7,"18,93","1,054","1,014","5,35","71,92","3,86","24,61",60,"1,042",70,"1,4"
American IPA,7,"10,6","1,054","1,01","5,83","44,47","5,14","14,38",60,"1,04",75,"1,5"
American IPA,7,"170,34","1,074","1,013","8,04","88,44","6,35","181,7",60,"1,07",86,"1,5"
American Pale Ale,10,22,"1,059","1,012","6,28","43,87","6,86",27,60,"1,048",72,"2,7"
American IPA,7,"87,06","1,045","1,011","4,48","36,05","6,12","105,99",60,"1,037",70,"1,25"
American IPA,7,23,"1,061","1,011","6,53","50,71","6,46",28,60,"1,05",75,"3,29"
American IPA,7,"20,82","1,078","1,017",8,"63,97","7,6","28,39",60,"1,057",80,
American IPA,7,19,"1,045","1,011","4,4","61,68","8,67",24,60,"1,035",65,
American Pale Ale,10,"18,93","1,059","1,013","6,05","55,37","10,1","22,71",60,"1,049",70,"1,25"
American Amber Ale,4,21,"1,056","1,014","5,52","37,43","11,63","28,5",60,"1,041",70,3
American Pale Ale,10,"3,8","1,058","1,017","5,5","34,65","10,6","6,1",60,"1,036",70,"4,4"
American IPA,7,"37,85","1,064","1,014","6,61","44,53","9,24","45,42",60,"1,053",70,"1,25"
American Pale Ale,10,23,"1,043","1,007","4,76","40,27","4,36",27,65,"1,037",70,
American IPA,7,"18,93","1,07","1,012","7,53","29,18","9,06","24,61",60,"1,054",75,"1,5"
American IPA,7,"20,82","1,06","1,011","6,49","66,5","7,67","28,39",60,"1,044",75,"1,5"
American IPA,7,23,"1,073","1,014","7,7","107,5","37,74",28,75,"1,06",75,"2,7"
American Amber Ale,4,"20,82","1,06","1,015","5,88","65,49","21,64","28,39",60,"1,044",70,"1,5"
American IPA,7,"20,82","1,075","1,025","6,54","144,38","7,04","28,39",60,"1,055",65,"1,5"
American Pale Ale,10,"30,28","1,051","1,009","5,51","34,08","3,55","37,85",60,"1,041",85,"1,5"
American IPA,7,"18,93","1,077","1,024","6,99","100,78","8,05","26,5",60,"1,055",70,"1,5"
American IPA,7,"15,14","1,056","1,014","5,54","97,25","7,01","18,93",60,"1,045",70,"1,5"
American Pale Ale,10,22,"1,054","1,01","5,77","33,7","6,45","28,4",60,"1,042",75,"2,5"
American Pale Ale,10,26,"1,051","1,009","5,5","30,18","6,11",32,60,"1,041",70,
American IPA,7,"18,93","1,073","1,017","7,41","20,78","13,72","28,39",60,"1,049",35,"1,5"
American IPA,7,"20,82","1,06","1,015","5,93","53,54","9,68","28,39",60,"1,044",70,
American IPA,7,"20,82","1,057","1,011","6,04","71,29","15,3","24,61",60,"1,048",70,
American IPA,7,"20,82","1,083","1,019","8,41","142,85","9,84","13,25",60,"1,131",50,
American Pale Ale,10,23,"1,058","1,011","6,06","34,52","10,5","30,5",60,"1,043",80,
American IPA,7,"41,64","1,069","1,013","7,35","62,2","8,4","51,1",60,"1,056",70,"1,5"
Saison,134,"15,14","1,059","1,01","6,36","31,54","6,51","18,93",60,"1,047",80,
American Light Lager,9,"20,82","1,067","1,017","6,59","139,1","10,54","30,28",60,"1,046",65,"1,25"
American IPA,7,10,"1,063","1,012","6,71","68,55","9,13",17,60,"1,037",70,3
American IPA,7,24,"1,053","1,009","5,8","63,66","9,01",24,60,"1,053",70,
Saison,134,17,"1,052","1,011","5,37","24,41","5,32",21,60,"1,042",67,
Saison,134,81,"1,057","1,011","6,04","22,75","4,74",60,90,"1,077",75,"2,39"
American Pale Ale,10,"18,93","1,053","1,011","5,56","53,46","4,07","22,71",60,"1,044",60,"1,5"
American Pale Ale,10,"18,93","1,054","1,016","4,99","58,65","11,92","11,36",60,"1,09",35,
American Light Lager,9,27,"1,046","1,009","4,89","32,12","3,29",12,60,"1,104",35,
American IPA,7,"20,82","1,056","1,01","6,06","60,77","7,67","28,39",90,"1,041",70,
American Amber Ale,4,14,"1,046","1,009","4,94","36,57","10,06",4,30,"1,031",75,
American Light Lager,9,"51,1","1,066","1,018","6,36","137,93","5,12","60,57",60,"1,056",70,
American IPA,7,"41,64","1,068","1,015","7,06","84,33","8,38",53,60,"1,054",75,"1,5"
Saison,134,20,"1,057","1,014","5,66","23,89","7,51",25,60,"1,046",58,"3,2"
American Light Lager,9,11,"1,042","1,011","4,14","40,93","28,41",11,60,"1,042",35,
American IPA,7,23,"1,055","1,009","6,03","61,22","5,91","28,5",60,"1,044",72,
American IPA,7,21,"1,07","1,02","6,51","41,35","4,18","28,5",60,"1,051",80,3
American Amber Ale,4,"18,93","1,076","1,019","7,53",0,"13,5","24,61",60,"1,059",85,
American IPA,7,20,"1,062","1,012","6,61","79,32","8,48",30,60,"1,041",70,3
American Amber Ale,4,"37,85","1,051","1,01","5,27","28,93","14,06",53,60,"1,036",70,
Saison,134,20,"1,073","1,02","7,05","31,71","4,67",30,90,"1,049",80,"3,5"
American IPA,7,5,"1,066","1,014","6,83","80,79","8,75",9,60,"1,036",75,"3,413"
American IPA,7,"20,82","1,067","1,016","6,71","78,11","15,49","28,39",90,"1,049",82,"1,25"
American Pale Ale,10,"24,6","1,055","1,013","5,58","39,47",8,"29,3",70,"1,046",79,
American Light Lager,9,"18,93","1,078","1,018","7,9","16,74","19,73","22,71",60,"1,065",70,"1,5"
American Light Lager,9,12,"1,084","1,021","8,31","25,81","29,77","28,5",60,"1,036",70,3
American Amber Ale,4,"23,5","1,049","1,01","5,12","28,86","15,15",30,60,"1,038",78,3
American Pale Ale,10,"20,82","1,041","1,011","3,95","53,4","8,03","24,61",60,"1,035",72,"1,25"
American Pale Ale,10,"22,71","1,056","1,014","5,51","38,05","5,99","30,28",60,"1,042",70,"1,5"
American IPA,7,"20,82","1,047","1,012","4,66",0,"24,62","28,39",60,"1,035",70,"1,5"
American IPA,7,"20,82","1,061","1,012","6,46","85,66","4,84","27,41",60,"1,046",65,
American IPA,7,"20,82","1,061","1,009","6,76","77,87","8,2","26,5",60,"1,048",75,"1,25"
American Light Lager,9,"47,32","1,065","1,016","6,41","43,86","36,47","51,1",60,"1,061",75,"1,5"
American Pale Ale,10,"20,82","1,045","1,009","4,65","18,89","4,06","28,39",60,"1,033",70,"1,25"
American IPA,7,"37,85","1,061","1,014","6,13","69,59","11,58","43,53",60,"1,053",70,"1,5"
American Light Lager,9,"41,64","1,063","1,016","6,22",0,"7,41","45,42",60,"1,058",70,"1,25"
American Pale Ale,10,"18,93","1,05","1,01","5,36","38,69","4,38","13,25",60,"1,072",35,
Saison,134,"10,41","1,047","1,008","5,02","29,25","3,05","17,03",90,"1,028",70,"1,5"
American Pale Ale,10,34,"1,036","1,003","4,31","35,31","6,04",37,70,"1,033",66,
American IPA,7,23,"1,062","1,013","6,38","44,46","6,3",27,60,"1,053",75,"2,5"
Saison,134,"20,82","1,062","1,012","6,49","22,53","5,75","28,39",60,"1,045",70,"1,5"
American Pale Ale,10,"23,09","1,045","1,011","4,42","35,34",6,"28,39",60,"1,037",70,"1,4"
American IPA,7,"22,71","1,061","1,016","5,99","184,76","5,56","28,39",60,"1,049",70,"1,5"
American IPA,7,"174,13","1,064","1,015","6,48","71,69","4,56","189,27",60,"1,059",70,"1,15"
American Pale Ale,10,"45,42","1,055","1,012","5,67","40,84","5,32","56,4",90,"1,045",80,"1,5"
American Light Lager,9,"20,82","1,004","1,001","0,43",0,"0,8","28,39",60,"1,003",75,"1,3"
American Amber Ale,4,24,"9,61337","2,71128","3,65","24,92","12,84",18,70,"12,7",60,3
American Pale Ale,10,"20,82","1,052","1,013","5,13","38,46","5,01","28,39",60,"1,038",73,
American Light Lager,9,"20,82","1,043","1,011","4,2","15,01","2,66","26,5",60,"1,034",68,"1,5"
American Light Lager,9,"10,41","1,066","1,001","8,47",0,"13,79","5,68",60,"1,12",35,
American IPA,7,"20,82","1,066","1,016","6,97","69,48","8,67","26,5",60,"1,052",35,
American Pale Ale,10,"37,85","1,059","1,015","5,78","37,89","5,44","45,42",60,"1,049",70,1
American Light Lager,9,"37,85","1,058","1,017","5,39","26,32","7,56","45,42",60,"1,048",75,"1,5"
American IPA,7,"20,82","1,058","1,015","5,71","98,56","9,42","26,5",60,"1,046",70,"1,5"
American Pale Ale,10,23,"1,051","1,01","5,38","50,38","8,28",27,60,"1,043",75,3
American Pale Ale,10,21,"1,054","1,01","5,76","42,23","7,03",26,60,"1,043",65,3
American Light Lager,9,"11,36","1,044","1,009","4,6","65,87","4,25","13,25",60,"1,038",78,
American IPA,7,"19,87","1,059","1,015","5,7","59,25","4,97","24,61",60,"1,048",70,
American Amber Ale,4,"20,82","1,04","1,008","4,23","10,32","12,07","9,46",60,"1,087",35,
American Pale Ale,10,4,"1,055","1,01","5,96","44,74","6,12",6,60,"1,037",70,
American IPA,7,"20,82","1,07","1,019","6,64","63,8","4,61","20,82",60,"1,07",80,"1,5"
American IPA,7,21,"1,078","1,02","7,65","61,99","6,95","28,5",90,"1,058",70,
American Light Lager,9,"20,82","1,008","1,002","0,75",0,"0,87","11,36",60,"1,014",35,
American Pale Ale,10,"41,64","1,042","1,008","4,44","32,68","5,09","43,53",60,"1,04",70,"3,28"
American IPA,7,21,"1,052","1,01","5,49","47,82","5,68",27,60,"1,041",69,
American Amber Ale,4,25,"1,061","1,012","6,42","101,17","10,82","28,5",90,"1,054",75,
American Amber Ale,4,"121,13","1,068","1,017","6,93","41,99","8,72","132,49",60,"1,062",80,"1,5"
American IPA,7,28,"1,067","1,019","6,4","32,13","8,4",29,75,"1,065","87,5",3
American IPA,7,5,"1,05","1,012","4,92","34,1","5,95","6,6",60,"1,038",85,3
American Light Lager,9,27,"1,047","1,012","4,6","31,46","3,15",12,60,"1,105",35,
American IPA,7,15,"1,057","1,011","6,1","53,18","5,41",19,60,"1,045",80,3
American Pale Ale,10,"11,36","1,053","1,01","5,6","38,75","6,13","15,14",60,"1,04",73,
American Light Lager,9,"20,82","1,014","1,003","1,37",0,"3,62","28,39",60,"1,01",80,4
Saison,134,"22,71","1,055","1,014","5,38","38,47","3,74","32,18",75,"1,039",70,
American Pale Ale,10,"41,64","1,053","1,014","5,2","30,32","8,28","49,21",60,"1,045",60,"1,5"
Saison,134,4,"1,025","1,005","2,75","35,52","7,33","4,4",60,"1,023",35,
American IPA,7,"20,82","1,066","1,014","6,89","56,71","6,97","28,39",90,"1,04",60,"1,3"
Saison,134,"9,46","1,048","1,008","5,15","32,45","2,88","9,46",60,"1,048",35,
American IPA,7,23,"1,062","1,011","6,75","59,82","7,77",35,60,"1,041",65,
American Light Lager,9,55,"1,052","1,013","5,16",0,"3,52",65,60,"1,044",65,"2,5"
American Amber Ale,4,"18,93","1,043","1,009","4,45","98,72","19,47","28,39",60,"1,029",35,"1,5"
American Light Lager,9,"3,79","1,042","1,011","4,13",0,"2,8","3,79",60,"1,042",35,
American Pale Ale,10,"20,82","1,047","1,009","5,02","39,74","10,91","28,39",60,"1,035",70,"1,5"
American Pale Ale,10,"11,5","1,066","1,013","7,06","86,76","5,55","11,5",60,"1,066",35,
American Pale Ale,10,18,"1,055","1,014","5,37","31,88","7,15",9,20,"1,109",35,
American IPA,7,15,"1,048","1,009","5,1","49,83","5,01",14,60,"1,051",25,
American Pale Ale,10,28,"1,041","1,01","4,01","26,64","6,46",31,60,"1,037",65,"2,9"
American IPA,7,"22,71","1,067","1,013","7,05","68,77","7,29","30,28",90,"1,05",70,"1,5"
American IPA,7,"7,57","1,075","1,014","7,98","70,44","5,53","9,46",60,"1,06",71,"1,5"
Saison,134,"18,93","1,054","1,01","5,8","39,62","6,34","24,61",90,"1,042",65,"1,5"
Saison,134,20,"1,048","1,005","5,6","24,42","4,28",25,60,"1,038",75,5
American IPA,7,450,"1,063","1,011","6,79","65,94","6,01",500,60,"1,057",75,
American Amber Ale,4,"18,93","1,057","1,013","5,71","25,67","15,74","24,23",90,"1,044",66,"1,5"
American Pale Ale,10,"20,82","1,05","1,013","4,95","35,45","6,93","28,39",60,"1,037",60,"1,5"
American Pale Ale,10,6,"1,048","1,012","4,73","59,64","5,46",7,60,"1,041",65,"1,5"
Saison,134,"18,93","1,052","1,003","6,35","22,34","3,64","28,5",90,"1,034",80,3
American IPA,7,"18,93","1,053","1,01","5,63","89,9","13,87","7,57",60,"1,132",35,
American Pale Ale,10,"18,93","1,039","1,012","3,56","38,48","6,84","19,68",60,"1,038",35,
Saison,134,"18,93","1,056","1,011","5,97","26,25","9,56","9,46",60,"1,112",60,
American Amber Ale,4,20,"1,056","1,01","5,97","28,03","13,43",25,60,"1,044",75,3
American Pale Ale,10,25,"1,055","1,012","5,68","36,9","4,38",30,60,"1,046",35,
American Pale Ale,10,"19,87","1,057","1,013","5,71","46,5","7,52","22,71",75,"1,049",70,
Saison,134,"20,82","1,101","1,02","10,64",22,"8,59","28,39",60,"1,074",70,"1,5"
American Pale Ale,10,"20,82","1,061","1,019","5,54","41,84","9,97","28,39",60,"1,045",70,"1,25"
Saison,134,25,"1,066","1,018","6,23","16,46","6,66",28,60,"1,059",65,"2,9"
American IPA,7,"22,71","1,058","1,01","6,3","65,12","9,04","28,39",60,"1,046",70,"1,5"
American IPA,7,"20,82","1,065","1,017","6,39","69,15","6,27","28,39",60,"1,048",65,
American Pale Ale,10,"39,75","1,05","1,009","5,41","34,94","4,68","49,21",75,"1,04",70,"1,33"
American Pale Ale,10,23,"1,047","1,009","5,04","22,02","11,4",12,60,"1,024",35,
American Amber Ale,4,"20,82","1,052","1,013","5,11","95,72","14,44","26,5",60,"1,041",70,"1,25"
American IPA,7,"37,85","1,064","1,016","6,31","103,17","6,14","45,42",60,"1,054",67,"1,5"
American IPA,7,"20,82","1,061","1,014","6,09","60,63","7,58","24,61",60,"1,051",70,"1,5"
American IPA,7,"13,25","1,07","1,019","6,73","88,17","10,1","18,93",90,"1,049",70,"1,5"
American Pale Ale,10,"20,9","1,054","1,01","5,9","77,38","4,98","24,9",60,"1,045",75,"2,7"
American Light Lager,9,"18,93","1,05","1,013","4,93","15,38","3,52","11,36",60,"1,083",35,
American Pale Ale,10,"9,46","1,06","1,011","6,34","18,99","6,86","13,25",60,"1,043",35,
American Pale Ale,10,"20,82","1,057","1,01","6,14","44,84","7,84","28,39",60,"1,042",70,
American IPA,7,"20,82","1,054","1,013","5,3","67,34","10,31","28,39",60,"1,039",70,"1,5"
Saison,134,"22,71","1,053","1,009","5,88","41,48","4,56","29,15",90,"1,042",65,
American IPA,7,"20,82","1,062","1,014","6,32","84,03","4,6","28,39",60,"1,046",65,2
American IPA,7,"45,42","1,057","1,013","5,75","58,64","3,85","56,4",60,"1,046",85,"1,5"
American IPA,7,21,"1,067","1,018","6,4","49,74","3,92",11,60,"1,127",35,
American IPA,7,"45,42","1,076","1,016","7,89","68,17","6,63","49,21",90,"1,07",68,"1,5"
American Amber Ale,4,"18,93","1,052","1,013","5,1","33,98","17,06","28,39",80,"1,035",60,"1,333"
American Amber Ale,4,"20,82","1,067","1,011","7,28","20,05","10,12","11,36",60,"1,122",35,
American Pale Ale,10,80,"1,05","1,011","5,05","30,28","3,17",90,60,"1,044",70,3
American Light Lager,9,1125,"1,064","1,012","6,82","47,39","6,58",1150,60,"1,063",85,"2,5"
American IPA,7,12,"1,049","1,009","5,28","75,84","5,6",12,80,"1,049",75,3
American Light Lager,9,20,"1,051","1,011","5,34","31,7","5,49",15,60,"1,068",67,3
American Pale Ale,10,20,"1,059","1,011","6,35","37,9","10,11",22,60,"1,054",70,
American IPA,7,"20,82","1,054","1,009","5,91","51,93","3,59","25,55",60,"1,044",73,"1,6"
American IPA,7,"22,71","1,063","1,011","6,92","133,98","4,32","26,5",60,"1,054",70,"1,23"
American Amber Ale,4,15,"1,06","1,015","5,87","35,56","14,47",18,60,"1,05",77,5
American IPA,7,8,"1,066","1,016","6,48","58,07","6,98","11,8",60,"1,045",67,"3,1"
American IPA,7,"20,82","1,044","1,008","4,74",0,"7,16","32,18",60,"1,028",35,"1,5"
American Amber Ale,4,"19,03","1,055","1,01","5,8","62,15","10,83","28,5",60,"1,036",65,5
American IPA,7,62,"1,059","1,013","6,04","59,48","11,02",69,60,"1,053",70,"2,5"
American IPA,7,20,"1,055","1,01","5,82","49,05","8,42",15,60,"1,073",35,
American IPA,7,"60,57","1,079","1,019","7,84","78,15","12,02","51,1",90,"1,094",55,
American IPA,7,38,"1,053","1,01","5,71","68,46","6,46",31,60,"1,065",60,
American Pale Ale,10,"20,82","1,053","1,014","5,11","30,26","5,49","28,39",60,"1,039",75,"1,5"
American Light Lager,9,"20,82","1,037","1,006","4,19","11,11","2,46","24,61",60,"1,032",70,
American IPA,7,"22,7","1,069","1,015","7,17","207,95","6,11",30,90,"1,052",70,
American Pale Ale,10,5,"13,9046","4,03689","5,33","70,9","8,21","7,25",70,"9,7",73,
American Pale Ale,10,"20,82","1,052","1,012","5,2","69,26","10,89","28,39",60,"1,038",65,"1,25"
American IPA,7,"3,79","1,089","1,022","8,75","62,7","47,2","7,57",60,"1,044",75,"1,5"
American IPA,7,"7,1","1,076","1,018","7,57","81,67","8,55",10,60,"1,054",65,"2,5"
Saison,134,"1760,22","1,054","1,004","6,54","27,38","4,04","1930,56",60,"1,049",89,"1,33"
American Pale Ale,10,20,"1,053","1,01","5,66","43,77","6,24",26,60,"1,041",35,
American IPA,7,22,"1,057","1,012","5,82","61,62","9,95",30,60,"1,041",80,4
Saison,134,"22,71","1,058","1,01","6,19","23,86","6,14","28,39",60,"1,046",80,
American Pale Ale,10,"18,93","1,051","1,012","5,21","31,39","8,04","25,78",90,"1,038",70,"1,332"
American IPA,7,21,"1,056","1,011","5,99","79,39","5,08",21,60,"1,056",43,
American Light Lager,9,18,"1,042","1,009","4,4","40,89","5,64",25,60,"1,03",60,3
